UConn,CONN
Stetson,STET
FAU,FAU
Northwestern,NU
San Diego St,SDSU
UAB,UAB
Auburn,AUB
Yale,YALE
BYU,BYU
Duquesne,DUQ
Illinois,ILL
Morehead St,MORE
Wash St,WSU
Drake,DRKE
Iowa St,ISU
S Dak St,SDST
UNC,UNC
Wagner,WAG
Miss St,MSST
Michigan St,MSU
St Mary,SMC
Grand Canyon,GCU
Alabama,ALA
Charleston,COFC
Clemson,CLEM
New Mexico,UNM
Baylor,BAY
Colgate,COLG
Dayton,DAY
Nevada,NEV
Arizona,ARIZ
LBSU,LBSU
Houston,HOU
Longwood,LONG
Nebraska,NEB
Texas A&M,TA&M
Wisconsin,WIS
J Madison,JMU
Duke,DUKE
Vermont,UVM
Texas Tech,TTU
NC State,NCSU
Kentucky,UK
Oakland,OAK
Florida,FLA
Play-in S10,TBD
Marquette,MARQ
W Kentucky,WKU
Purdue,PUR
Play-in MW16,TBD
Utah St,USU
TCU,TCU
Gonzaga,GONZ
McNeese,MCN
Kansas,KU
Samford,SAM
S Carolina,SC
Oregon,ORE
Creighton,CREI
Akron,AKR
Texas,TEX
Colorado St,CSU
Tennessee,TENN
St Peter,SPU
